number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_at,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,closed_code,resolved_by,resolved_at,closed_at
INC0000261,Active,True,0,0,0,True,Caller 1393,Opened by  128,29/2/2016 12:54,Created by 67,29/2/2016 12:58,Updated by 300,29/2/2016 12:58,Phone,Location 197,Category 42,Subcategory 31,Symptom 273,?,1 - High,1 - High,1 - Critical,Group 3,Resolver 71,True,True,Do Not Notify,Problem ID  4,?,?,?,code 1,Resolved by 64,29/2/2016 17:47,29/2/2016 17:47
INC0000261,Active,True,0,0,1,True,Caller 1393,Opened by  128,29/2/2016 12:54,Created by 67,29/2/2016 12:58,Updated by 300,29/2/2016 13:14,Phone,Location 197,Category 42,Subcategory 31,Symptom 273,?,1 - High,1 - High,1 - Critical,Group 3,Resolver 71,True,False,Do Not Notify,Problem ID  4,?,?,?,code 1,Resolved by 64,29/2/2016 17:47,29/2/2016 17:47
INC0000261,Active,True,0,0,2,True,Caller 1393,Opened by  128,29/2/2016 12:54,Created by 67,29/2/2016 12:58,Updated by 300,29/2/2016 13:20,Phone,Location 197,Category 42,Subcategory 31,Symptom 273,?,1 - High,1 - High,1 - Critical,Group 3,Resolver 71,True,True,Do Not Notify,Problem ID  4,?,?,?,code 1,Resolved by 64,29/2/2016 17:47,29/2/2016 17:47
INC0000261,Active,True,0,0,3,True,Caller 1393,Opened by  128,29/2/2016 12:54,Created by 67,29/2/2016 12:58,Updated by 300,29/2/2016 13:20,Phone,Location 197,Category 42,Subcategory 31,Symptom 273,?,1 - High,1 - High,1 - Critical,Group 3,Resolver 71,True,True,Do Not Notify,Problem ID  4,?,?,?,code 1,Resolved by 64,29/2/2016 17:47,29/2/2016 17:47
INC0000261,Active,True,0,0,4,True,Caller 1393,Opened by  128,29/2/2016 12:54,Created by 67,29/2/2016 12:58,Updated by 300,29/2/2016 13:57,Phone,Location 197,Category 42,Subcategory 31,Symptom 273,?,1 - High,1 - High,1 - Critical,Group 3,Resolver 71,True,False,Do Not Notify,Problem ID  4,?,?,?,code 1,Resolved by 64,29/2/2016 17:47,29/2/2016 17:47
INC0000261,Active,True,0,0,5,True,Caller 1393,Opened by  128,29/2/2016 12:54,Created by 67,29/2/2016 12:58,Updated by 300,29/2/2016 13:59,Phone,Location 197,Category 42,Subcategory 31,Symptom 273,?,1 - High,1 - High,1 - Critical,Group 3,Resolver 71,True,True,Do Not Notify,Problem ID  4,?,?,?,code 1,Resolved by 64,29/2/2016 17:47,29/2/2016 17:47
INC0000261,Resolved,True,0,0,6,True,Caller 1393,Opened by  128,29/2/2016 12:54,Created by 67,29/2/2016 12:58,Updated by 300,29/2/2016 17:47,Phone,Location 197,Category 42,Subcategory 31,Symptom 273,?,1 - High,1 - High,1 - Critical,Group 3,Resolver 71,True,True,Do Not Notify,Problem ID  4,?,?,?,code 1,Resolved by 64,29/2/2016 17:47,29/2/2016 17:47
INC0000261,Closed,False,0,0,7,True,Caller 1393,Opened by  128,29/2/2016 12:54,Created by 67,29/2/2016 12:58,Updated by 300,29/2/2016 17:47,Phone,Location 197,Category 42,Subcategory 31,Symptom 273,?,1 - High,1 - High,1 - Critical,Group 3,Resolver 71,True,True,Do Not Notify,Problem ID  4,?,?,?,code 1,Resolved by 64,29/2/2016 17:47,29/2/2016 17:47
INC0000341,Active,True,0,0,8,True,Caller 527,Opened by  433,29/2/2016 15:13,?,?,Updated by 486,21/3/2016 12:09,Phone,Location 204,Category 45,Subcategory 220,?,?,1 - High,1 - High,1 - Critical,Group 66,Resolver 193,True,True,Do Not Notify,?,?,?,?,code 6,Resolved by 16,2/8/2016 14:33,7/8/2016 15:00
INC0000341,Active,True,0,0,9,True,Caller 527,Opened by  433,29/2/2016 15:13,?,?,Updated by 486,21/3/2016 12:09,Phone,Location 204,Category 45,Subcategory 220,?,?,1 - High,1 - High,1 - Critical,Group 66,Resolver 193,True,True,Do Not Notify,Problem ID  44,?,?,?,code 6,Resolved by 16,2/8/2016 14:33,7/8/2016 15:00
